PI,QF,QC,D,QED,ST,CTB,CHB,CTD,CHD,RT,RH,B
pallet01,good,excellent,good,60007.0,60105.0,14.04,97.3,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90008.0,90067.0,28.41,70.06,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75007.0,75079.0,17.97,78.58,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75013.0,75065.0,21.37,73.41,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60007.0,60071.0,17.13,91.47,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75005.0,75048.0,25.97,53.71,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75007.0,75081.0,22.59,97.04,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75017.0,75055.0,20.71,77.42,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75013.0,75096.0,22.88,92.47,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90018.0,90076.0,18.41,102.34,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90012.0,90087.0,20.59,94.51,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75008.0,75049.0,24.05,79.69,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60004.0,60047.0,14.16,47.5,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90012.0,90088.0,24.14,63.07,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60011.0,60059.0,15.15,48.81,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75012.0,75077.0,14.18,39.1,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90008.0,90050.0,14.5,74.28,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75011.0,75058.0,27.21,77.27,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60011.0,60065.0,21.28,89.2,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90007.0,90075.0,28.71,33.61,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75009.0,75049.0,18.72,87.1,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75011.0,75063.0,25.88,40.01,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75014.0,75063.0,19.73,85.45,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60006.0,60079.0,28.07,108.52,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90008.0,90075.0,25.49,73.12,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60018.0,60065.0,18.55,101.91,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60013.0,60094.0,15.21,54.78,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75009.0,75051.0,17.79,66.59,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60004.0,60042.0,10.88,47.7,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90013.0,90068.0,20.76,90.87,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90010.0,90057.0,23.3,83.26,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90012.0,90065.0,29.88,61.96,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60004.0,60074.0,18.72,102.56,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75008.0,75062.0,18.7,76.77,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90010.0,90066.0,11.8,94.5,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60007.0,60075.0,20.03,53.57,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75008.0,75053.0,12.65,86.69,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60010.0,60067.0,24.74,81.0,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60009.0,60061.0,15.39,100.13,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90008.0,90061.0,21.29,67.53,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90008.0,90056.0,10.74,33.16,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90010.0,90054.0,27.61,70.85,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90012.0,90093.0,10.09,40.62,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75008.0,75050.0,20.12,86.8,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60006.0,60045.0,12.39,102.75,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90010.0,90053.0,24.68,63.03,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60004.0,60045.0,17.42,41.67,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,59958.0,60023.0,27.4,103.5,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60007.0,60046.0,24.46,102.69,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60007.0,60068.0,19.95,58.73,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90011.0,90082.0,11.4,54.73,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75008.0,75069.0,23.05,54.73,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60009.0,60048.0,13.15,109.43,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90010.0,90053.0,26.0,104.77,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75006.0,75041.0,15.87,37.23,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75006.0,75056.0,26.53,104.92,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60007.0,60049.0,16.32,94.32,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75012.0,75051.0,15.94,92.62,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75014.0,75202.0,20.82,87.4,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75009.0,75045.0,10.19,57.73,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90019.0,90094.0,15.15,88.62,10.73,74.81,21.85,90.7,no
