INST,PI,QF,QC,D,QED,ST,CTB,CHB,CTD,CHD,RT,RH,B
6e275320-2548-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90015.0,143.0,20.51,69.85,19.73,71.13,22.24,71.8,no
afdd3983-2548-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90019.0,77.0,20.41,71.07,19.43,68.02,25.98,86.23,yes
f1884a6a-2548-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60014.0,79.0,19.18,68.15,19.93,66.53,10.98,34.94,no
21520671-2549-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90014.0,72.0,19.03,68.29,19.77,70.59,12.67,96.71,yes
62fb4298-2549-11f1-89cc-62770b4df268,pallet02,bad,good,good,75013.0,106.0,19.85,69.64,20.91,71.09,29.93,106.55,no
a1ad37bf-2549-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90013.0,105.0,20.15,66.03,20.15,67.39,24.97,55.32,no
e061ec06-2549-11f1-89cc-62770b4df268,pallet02,bad,good,good,75013.0,72.0,19.99,67.31,19.86,69.19,29.39,65.32,yes
1624bd5d-254a-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90018.0,91.0,19.46,68.06,19.35,66.35,24.24,64.3,yes
54d9bfc4-254a-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60019.0,122.0,19.68,65.62,20.1,72.79,19.24,97.15,yes
81b387cb-254a-11f1-89cc-62770b4df268,pallet02,bad,good,good,75023.0,75.0,20.12,73.9,19.9,73.0,15.88,62.85,no
c065a40e-254a-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60017.0,78.0,20.39,71.52,19.96,67.68,22.72,102.38,no
ed34bcb5-254a-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90011.0,105.0,19.69,67.67,20.6,69.05,19.44,52.47,yes
34ce82ac-254b-11f1-89cc-62770b4df268,pallet02,bad,good,good,75014.0,128.0,20.37,70.7,20.66,71.45,26.16,42.76,yes
6a939df3-254b-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60004.0,63.0,19.74,67.98,19.49,70.68,29.19,66.07,yes
a04a615a-254b-11f1-89cc-62770b4df268,pallet02,bad,good,good,75010.0,90.0,19.72,70.84,19.88,69.7,25.79,79.84,no
defc2f71-254b-11f1-89cc-62770b4df268,pallet02,bad,good,good,75019.0,97.0,20.34,67.57,20.3,71.92,12.22,76.3,yes
14bf9d08-254c-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90008.0,116.0,20.45,73.2,20.25,71.69,18.74,88.39,yes
5c623c9f-254c-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60013.0,80.0,19.37,69.84,19.57,73.18,27.58,66.88,yes
921f8fb6-254c-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60010.0,60.0,19.26,70.14,20.0,71.78,28.46,80.94,yes
c1e04b0d-254c-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90012.0,82.0,20.12,71.23,19.56,69.85,10.69,76.93,no
008b6270-254d-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90015.0,119.0,19.5,66.62,20.09,70.2,13.7,92.29,yes
3f43e647-254d-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60010.0,80.0,19.8,74.11,19.71,68.92,28.25,69.02,yes
6f08c04e-254d-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90012.0,77.0,19.4,66.36,20.13,65.91,14.23,40.85,yes
b0aec825-254d-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60010.0,94.0,20.04,66.63,19.41,68.14,27.63,65.23,no
e076fd8c-254d-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60007.0,94.0,19.65,66.62,20.02,69.68,11.37,101.65,yes
103d5e33-254e-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90006.0,108.0,19.65,69.07,19.6,69.01,13.0,44.18,yes
51e75daa-254e-11f1-89cc-62770b4df268,pallet02,bad,good,good,75018.0,77.0,19.46,71.72,20.55,70.15,10.76,59.95,no
9095f771-254e-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90039.0,101.0,20.58,73.65,19.87,71.68,25.96,32.24,no
cf52e918-254e-11f1-89cc-62770b4df268,pallet02,bad,good,good,75008.0,89.0,19.84,69.5,20.33,71.7,26.72,90.26,yes
0510b16b-254f-11f1-89cc-62770b4df268,pallet02,bad,good,good,75015.0,148.0,19.11,71.3,19.9,68.26,19.21,38.71,no
43cd2de2-254f-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90015.0,71.0,20.46,74.98,20.11,72.01,22.13,104.21,no
8572c089-254f-11f1-89cc-62770b4df268,pallet02,bad,good,good,75011.0,64.0,19.52,68.84,19.7,67.79,20.44,50.42,no
bb2c6920-254f-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60013.0,86.0,19.87,68.94,19.81,70.58,22.02,101.56,yes
f0e8f8e7-254f-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90014.0,148.0,21.03,71.03,20.45,70.6,24.28,94.47,no
3890efae-2550-11f1-89cc-62770b4df268,pallet02,bad,good,good,75011.0,74.0,20.35,68.08,20.08,70.11,26.9,78.37,no
7738d2b5-2550-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60013.0,84.0,20.24,69.66,20.09,67.4,20.63,63.64,no
acf5145c-2550-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90010.0,131.0,19.93,69.11,20.18,68.83,18.8,60.25,yes
eea3cec3-2550-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60009.0,103.0,20.17,70.11,19.42,68.69,19.92,77.75,yes
1b702956-2551-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90013.0,95.0,19.78,70.27,20.47,70.76,27.82,81.25,yes
631539ed-2551-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90022.0,93.0,19.88,71.55,20.52,71.72,23.57,58.66,yes
a4bec434-2551-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90016.0,71.0,20.16,74.46,20.42,72.87,18.53,61.7,yes
e668276b-2551-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,89930.0,106.0,21.1,73.25,19.58,70.27,10.24,85.73,no
28079e92-2552-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60000.0,65.0,19.52,69.09,20.05,71.62,24.93,42.43,no
5dbe13d9-2552-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60009.0,108.0,19.61,68.69,19.76,68.74,16.58,60.76,no
937c0330-2552-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60012.0,69.0,19.67,69.07,20.91,70.58,13.29,57.21,no
c9370c57-2552-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90012.0,122.0,21.51,68.33,19.67,70.69,26.84,75.36,no
0ae662fe-2553-11f1-89cc-62770b4df268,pallet02,bad,good,good,75013.0,139.0,19.85,71.91,19.91,68.36,28.58,51.07,no
499a7b11-2553-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90007.0,95.0,19.9,69.42,20.12,69.63,16.06,35.36,no
88489fa8-2553-11f1-89cc-62770b4df268,pallet02,bad,good,good,75005.0,108.0,20.36,67.03,19.74,71.91,22.15,92.57,yes
c6f9f88f-2553-11f1-89cc-62770b4df268,pallet02,bad,good,good,75015.0,128.0,20.51,70.99,19.3,68.51,17.11,51.45,yes
05acff26-2554-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60010.0,72.0,19.79,69.01,19.95,68.36,26.62,50.49,yes
3b6744fd-2554-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90010.0,77.0,19.71,72.53,19.44,67.8,13.22,82.35,yes
7d0d25c4-2554-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90009.0,76.0,19.41,68.96,19.6,69.35,10.13,92.84,no
bbba37eb-2554-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60001.0,89.0,20.14,68.36,19.45,66.75,13.28,106.86,no
eb7fd542-2554-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60009.0,68.0,19.28,69.24,19.8,70.12,22.41,100.83,yes
18461549-2555-11f1-89cc-62770b4df268,pallet02,bad,good,good,75014.0,64.0,19.63,70.75,20.43,73.56,15.25,56.01,yes
56f28c3c-2555-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60011.0,72.0,20.01,69.47,19.84,70.69,25.44,91.94,no
8caf1c03-2555-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60079.0,85.0,19.61,69.98,21.2,68.0,28.56,65.42,yes
bc83113a-2555-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60015.0,134.0,20.87,68.68,20.38,70.46,13.69,99.06,yes
ec518831-2555-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90016.0,91.0,20.22,66.46,19.9,72.46,14.85,48.72,yes
2b009728-2556-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60009.0,68.0,19.99,73.12,20.4,67.24,17.17,49.63,yes
5ac2b20f-2556-11f1-89cc-62770b4df268,pallet02,bad,good,good,75004.0,66.0,20.54,68.06,20.46,68.61,13.29,89.26,no
9078d936-2556-11f1-89cc-62770b4df268,pallet02,bad,good,good,75009.0,59.0,20.43,70.32,20.64,70.79,12.59,57.2,yes
cf21587d-2556-11f1-89cc-62770b4df268,pallet02,bad,good,good,75012.0,110.0,19.77,69.72,19.56,68.99,14.72,103.86,yes
0dd0dba4-2557-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90011.0,95.0,19.81,68.48,20.07,71.13,28.83,46.33,no
4c7f7577-2557-11f1-89cc-62770b4df268,pallet02,bad,good,good,75013.0,99.0,20.1,70.48,20.55,72.4,14.86,46.59,no
82410e4e-2557-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90009.0,66.0,20.46,69.77,20.01,69.22,10.15,41.1,no
c9de0895-2557-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90014.0,146.0,19.64,66.67,20.72,72.39,19.34,52.85,yes
0894437c-2558-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90008.0,65.0,20.36,73.66,20.28,72.89,22.63,85.64,no
4a39d623-2558-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60010.0,112.0,20.26,68.95,18.68,70.68,22.5,58.41,no
77056d5a-2558-11f1-89cc-62770b4df268,pallet02,bad,good,good,75012.0,72.0,19.2,71.89,21.35,71.88,13.49,69.63,yes
b5af9a51-2558-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90012.0,109.0,20.54,73.71,20.73,70.14,28.11,87.82,no
fd506528-2558-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60004.0,68.0,19.48,72.98,19.66,73.72,12.68,41.96,no
2a1804bf-2559-11f1-89cc-62770b4df268,pallet02,bad,good,good,75008.0,72.0,19.81,74.39,21.0,69.61,23.02,80.53,yes
62cfd232-2559-11f1-89cc-62770b4df268,pallet02,bad,good,good,75006.0,69.0,21.17,69.18,20.46,67.85,15.8,89.78,yes
988bc5b9-2559-11f1-89cc-62770b4df268,pallet02,bad,good,good,75010.0,73.0,20.71,70.7,19.42,69.34,16.09,74.0,yes
d735f2b0-2559-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90010.0,118.0,19.05,67.24,20.03,70.23,11.19,88.17,no
18e21507-255a-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60009.0,72.0,20.2,68.52,19.95,67.01,12.95,95.33,no
